key,value
site_name,Pawfect Grooming
tagline,Love your pet. Let us pamper them.
address,1248 Pearl Street, Boulder, Colorado 80302
phone,888-888-888
email,hello@pawfectgrooming.com
hours,"Tuesday – Friday: 8:00 AM – 6:00 PM\nSaturday: 8:00 AM – 5:00 PM\nSunday & Monday: Closed"
booking_notice,We typically book 1–3 weeks out. Same-week appointments occasionally open up.
instagram_url,https://instagram.com/pawfectgrooming
facebook_url,https://facebook.com/pawfectgrooming
tiktok_url,https://tiktok.com/@pawfectgrooming
years_experience,12
pets_pampered,4800
review_pct,98
groomer_count,3
founder_name,Sarah Kline
founder_quote,"Every pet who walks through our doors leaves happier than they arrived."
